expertiseName,expertiseUri,count
Deep Scientific Drilling,http://info.deepcarbon.net/individual/ad902905081fa0bc578009a143,1
Deep Sea Technology,http://info.deepcarbon.net/individual/d7f876426-4937-4f46-a5a0-f048acfb40ff,5
Deep life,http://info.deepcarbon.net/individual/e39b98b64a9661326a275ee747,1
Deep sea microbiology,http://info.deepcarbon.net/individual/3849323000dcee6b3c5ac5a07e,1
Deep terrestrial biosphere,http://info.deepcarbon.net/individual/c2cd5083c620380421d7912591,1
Deep-Sea Instrumentation,http://info.deepcarbon.net/individual/d5d329f6a-0bd0-4cbf-9cdb-1b4b7d664ce4,8
Deep-Sea Microbiology,http://info.deepcarbon.net/individual/d74d3936e-9231-4d46-b2d4-f9e6ac5dde06,19
Deep-sea microbiology,http://info.deepcarbon.net/individual/153c3cb7fa03d03bf92c3cf99d,1
Diagenesis,http://info.deepcarbon.net/individual/d1d68fcaf-e96b-4ff5-8a38-ad26665f452a,8
Diamond Exploration Methods,http://info.deepcarbon.net/individual/d24a755d7-c716-49c5-9f48-a7bd746dd18a,1
Diamond Growth,http://info.deepcarbon.net/individual/de8e8e23b-178e-49cc-b58c-47c2afe6b718,5
Diamond Mineralogy,http://info.deepcarbon.net/individual/df431c9addcc9a37b2a6ab026c,1
Diamond Mineralogy Geochemistry,http://info.deepcarbon.net/individual/d7e2e4a83-4601-40c8-87e1-d287fd4a86fd,10
Diamonds,http://info.deepcarbon.net/individual/518354730aa4e7be6989747a57,1
Diamonds,http://info.deepcarbon.net/individual/7183a53553716cf4a0d2005d00,1
Diamonds,http://info.deepcarbon.net/individual/a2e8175b06321379b505967fc7,1
Digital Rights Management,http://info.deepcarbon.net/individual/d7242671d-7527-4194-90aa-8e8bb85cec58,1
Disordered Solids Physics,http://info.deepcarbon.net/individual/d6405b850-cdec-40c0-94f8-eab9674ceb1e,1
Drilling,http://info.deepcarbon.net/individual/d0a27ec49-ddd2-4680-95c3-c427322476a1,3
Earth Evolution,http://info.deepcarbon.net/individual/d81395f2a-d96f-45fa-abb9-498c29ce5133,8
Earth Science education,http://info.deepcarbon.net/individual/b64cc0ffb448b2503cbe377147,1
Earth Sciences,http://info.deepcarbon.net/individual/d73d5369b-26d3-4309-bbcc-da54295b30c7,42
Earth Sciences,http://info.deepcarbon.net/individual/d73d5369b-26d3-4309-bbcc-da54295b30c7,42
Earth and Planetary Science,http://info.deepcarbon.net/individual/d09742ef1-166a-42aa-826a-8bcfb219d001,25
Earth and planetary material physics,http://info.deepcarbon.net/individual/c021a499012031858af67aaed2,1
Ecology,http://info.deepcarbon.net/individual/9160e2160f7b0aaa45b998c5c5,1
Energy,http://info.deepcarbon.net/individual/56a9884f-41cd-43c1-8da5-95c84ac6355f,3
Engagement,http://info.deepcarbon.net/individual/ddbcc7ed9-c603-4cb4-992c-04aca2cdee38,3
Environmental Microbiology,http://info.deepcarbon.net/individual/d2f5b84a9-91d6-4d5e-911c-decb0e4d1c29,36
Environmental Policy,http://info.deepcarbon.net/individual/dd56d3c2c-c2a0-4315-92fe-24b8bad7d97e,1
Evolutionary Biology,http://info.deepcarbon.net/individual/db039be6f-6315-4269-8968-d922db2c3402,3
Experimental Deformation,http://info.deepcarbon.net/individual/ac75720bfe2045091ccd26a5f1,1
Experimental Mineral Physics,http://info.deepcarbon.net/individual/de8e8e6ea-6a8d-47a5-9d1b-3d0517315715,7
